i m not a vegetarian .,je ne suis pas vegetarien .
i m happy too .,je suis heureux moi aussi .
i m hit !,je suis touche !
you re not a doctor .,vous n etes pas medecin .
they re cannibals .,ce sont des cannibales .
i m glad you brought that up .,je suis ravi que vous ayez souleve cela .
they are all college students .,ce sont toutes des etudiantes de la fac .
we re not turning back .,nous n allons pas faire demi tour .
we re very grateful for your hospitality .,nous sommes tres reconnaissants pour votre hospitalite .
you re not helping much .,vous n aidez pas beaucoup .
i m sure that tom will do that .,je suis sure que tom va le faire .
you re back .,tu es de retour .
i m sorry to bother you so often .,je suis desole de vous ennuyer si souvent .
he is a genius .,c est un genie .
i m delighted to meet you .,je suis enchantee de vous rencontrer .
i m quiet .,je suis tranquille .
i m sorry i hurt you .,je suis desole de vous avoir blesse .
i m the captain .,je suis le capitaine .
you re sleepy .,vous etes endormies .
he is every inch a gentleman .,c est un parfait gentleman .
he s not as tall as you are .,il n est pas aussi grand que toi .
i m ashamed of my body .,j ai honte de mon corps .
you re in over your head .,tu es dedans jusqu au cou .
i am sorry .,je suis desolee .
i m fine .,je vais bien .
he s your friend .,il est votre ami .
you re very sharp .,vous etes tres vif .
he is a spoiled child .,c est un enfant pourri gate .
they re all mine .,elles sont toutes a moi .
we re listening .,nous ecoutons .
i am sorry if i disturbed you .,je suis desolee si je t ai derange .
you re the teacher .,tu es l enseignant .
you are free to go .,vous etes libres de partir .
we re being attacked .,nous sommes attaques .
you re almost right .,tu as presque raison .
we re coming .,nous venons .
they are the ones who want to go .,ce sont ceux qui veulent y aller .
they re very fond of him .,ils l adorent .
i m drowning .,je suis en train de me noyer .
i m sorry if i frightened you .,je suis desolee si je vous ai effrayee .
i m making progress .,je fais des progres .
i m glad to see you re happy .,je me rejouis de vous voir heureuse .
you re the teacher .,tu es l enseignante .
we re smashed .,nous sommes bourrees .
i m more than a friend .,je suis plus qu un ami .
he is a good carpenter .,il est bon charpentier .
you re not the first .,tu n es pas le premier .
i m sorry about last night .,je suis desole a propos de hier soir .
he s not one of us .,il n est pas des notres .
she s not admitting her mistake .,elle n admet pas son erreur .
we re all working together .,nous travaillons tous ensemble .
we re helpless .,nous sommes impuissants .
you re sad .,tu es triste .
i m not scared of anybody .,je ne crains personne .
you re so mean .,tu es si mechante .
you re very resourceful .,vous etes pleines de ressources .
you re cool .,t es sympa .
i m not evil .,je ne suis pas mauvais .
i m fairly happy .,je suis plutot contente .
i m allergic to some medicine .,je suis allergique a quelques medicaments .
you re very perceptive .,tu es tres perspicace .
i m not insane .,je ne suis pas folle .
he is afraid of his grandfather .,il a peur de son grand pere .
he is a slim child .,c est un enfant mince .
i m going to be out today .,je vais etre a l exterieur aujourd hui .
i am an artist .,je suis un artiste .
you are dreaming .,vous etes en train de rever .
i m sorry my father is out .,je suis desole mon pere est dehors .
i m sorry to bother you so often .,je suis desole de te deranger si souvent .
i m your biggest fan .,je suis votre plus grand fan .
i m a quick learner .,j apprends vite .
they re out of their minds .,ils ont perdu l esprit .
they re mine .,elles sont miennes .
i m not the coach .,je ne suis pas l entraineur .
she s at work isn t she ?,elle est au travail n est ce pas ?
they re very fond of him .,elles l adorent .
we re sensitive .,nous sommes sensibles .
i m sick .,je suis malade .
i m not going to see you again .,je ne vais pas te revoir .
i m not exactly surprised .,je ne suis pas tout a fait surpris .
we re not invited .,nous ne sommes pas invitees .
i m homesick .,j ai le mal du pays .
i m not going to stop working .,je ne vais pas m arreter de travailler .
he is good at driving .,il est bon conducteur .
he s a rather rare individual .,c est un individu plutot rare .
i m a good person .,je suis une bonne personne .
you are twice as strong as me .,vous etes deux fois plus forte que moi .
i m a fan of german opera .,je suis un inconditionnel de l opera allemand .
you re making a big mistake .,tu commets une grosse erreur .
you re beautiful .,vous etes belles .
they are willing to help us out .,ils veulent bien nous aider .
i am totally confused .,je suis completement confuse .
you re free .,tu es libre .
he s not a bad guy .,ce n est pas un mauvais bougre .
they are very cheerful .,ils sont tres joyeux .
they are satisfied with the new house .,ils sont satisfaits de la nouvelle maison .
i m not satisfied .,je ne suis pas satisfait .
we re cooperating .,nous cooperons .
she s waiting for you at home .,elle vous attend chez elle .
you re the greatest .,vous etes le meilleur .
we re concerned for your safety .,nous nous soucions de ta securite .
you re really annoying .,tu es vraiment embetant .
he s addicted .,il a une assuetude .
i am starting this evening .,je commence des ce soir .
i m not planning anything .,je ne prevois rien .
he s the one isn t he ?,c est lui n est ce pas ?
she is no better than a thief .,elle ne vaut pas mieux qu une voleuse .
he s right here .,il est juste la .
they re right behind you .,elles se trouvent juste derriere toi .
i m lucky .,je suis chanceuse .
you re all crazy .,vous etes tous fous .
he is depressed .,il est deprime .
you are very brave .,vous etes tres courageuse .
they re back .,ils sont de retour .
i m a married woman now .,je suis une femme mariee desormais .
she is very kind to us .,elle est tres gentille avec nous .
you re the teacher .,c est toi l instituteur .
i m an adult .,je suis adulte .
she is on a diet to lose weight .,elle fait un regime pour perdre du poids .
i m sympathetic .,j eprouve de la compassion .
they re all in there .,elles sont toutes la dedans .
i am afraid that he might get hurt .,j ai peur qu il ne se blesse .
he s waiting for you at home .,il t attend a la maison .
he s a very nice boy .,c est un tres gentil garcon .
i m busy .,je suis occupe .
i am afraid of heights .,je souffre de vertige .
you re my friend .,tu es mon amie .
we re winning .,nous sommes en train de gagner .
i m not amused .,ca ne m amuse pas .
i m in luck .,je suis veinard .
she is old enough to travel by herself .,elle est assez grande pour voyager toute seule .
i m not ready to die .,je ne suis pas pret a mourir .
he is speaking english .,il parle anglais .
she is looking for her car keys .,elle cherche ses cles de voiture .
he s wearing a new coat .,il porte un nouveau manteau .
you are the chosen one .,vous etes l elue .
we re pooped .,nous sommes creves .
i m glad to be here .,je suis contente d etre la .
you re demented .,vous etes fous .
she is a bad person .,c est une mauvaise personne .
i m closing the door .,je suis en train de fermer la porte .
you re very wise .,vous etes tres avise .
he s not a very meticulous guy .,il n est pas vraiment minutieux .
i m not hurt .,je ne suis pas blessee .
he is not what he used to be .,il n est plus celui qu il etait .
i m doing this for my family .,je le fais pour ma famille .
you re very sophisticated .,vous etes fort elegantes .
we re not fighting .,nous ne nous battons pas .
you re all racists .,vous etes tous des racistes .
you re not very good .,vous n etes pas tres bon .
you re very observant .,vous etes tres observatrice .
you are my best friend .,tu es mon meilleur ami .
you re an interesting girl .,tu es une fille interessante .
i am in your debt .,je suis votre debitrice .
i m right behind you .,je suis juste derriere vous .
i m all for your suggestion .,je suis completement en faveur de ta suggestion .
he s out taking a walk .,il est dehors en train de se promener .
i m freezing .,je suis gele .
he s cruel and heartless .,il est cruel et sans c ur .
i m going to be sick .,je vais etre malade .
you re not being very supportive .,tu ne me soutiens pas beaucoup .
you re sleepy .,tu es endormie .
you re safe .,vous etes sauf .
they re all thieves .,ce sont toutes des voleuses .
you re annoying .,tu es chiant .
i m not making any plans .,je ne fais pas le moindre projet .
i m thrilled .,je suis ravie .
you re my kid s teacher .,vous etes l institutrice de mon enfant .
they re not so bad .,ils ne sont pas si mauvais .
i m right behind him .,je suis juste derriere lui .
he is sitting on the chair .,il est assis sur la chaise .
you re funny .,t es marrant .
you re a doll !,tu es un amour !
we re as good as dead now .,nous sommes desormais pour ainsi dire morts .
she is working night and day .,elle travaille nuit et jour .
you re surrounded .,vous etes cerne .
i m delighted to meet you .,je suis ravi de te rencontrer .
i am on holiday this week .,je suis en vacances cette semaine .
i am afraid that you will get lost .,je crains que tu te perdes .
you re resourceful .,vous etes pleins de ressources .
he is a painter .,il est peintre .
i m giving you an opportunity .,je te donne une occasion .
he is foolish .,il est idiot .
i m looking forward to that .,je m en rejouis d avance .
she s an honest girl .,c est une fille honnete .
i m still single .,je suis toujours celibataire .
i am running short of money .,je suis a court d argent .
we re the last .,nous sommes les derniers .
i m delighted to meet you .,je suis ravi de vous rencontrer .
we re on our way .,nous sommes en route .
she is behind in her rent .,elle est en retard sur son loyer .
i m going to get married .,je vais me marier .
i m writing a book .,je suis en train d ecrire un bouquin .
you re doing an excellent job .,tu fais un boulot excellent .
